discipline_title,event_title,slug_game,medal_type,country_name,value_unit
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Germany,00:03:14.480
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Poland,00:03:14.480
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Romania,00:03:14.480
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Hungary,00:03:14.480
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,People's Republic of China,00:03:14.480
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,GOLD,France,00:03:9.930
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,SILVER,United States of America,00:03:10.380
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,Russian Federation,00:03:11.410
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,Australia,00:03:11.630
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,South Africa,00:03:13.450
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,Germany,00:03:13.520
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,Italy,00:03:14.130
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,Belgium,00:03:14.400
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,Brazil,00:03:14.400
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,Canada,00:03:14.400
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,People's Republic of China,00:03:14.400
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,Great Britain,00:03:14.400
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,Serbia,00:03:14.400
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,Hungary,00:03:14.400
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,Venezuela,00:03:14.400
Swimming,Women's 4 x 200m Freestyle Relay,london-2012,GOLD,United States of America,00:07:42.920
Swimming,Women's 4 x 200m Freestyle Relay,london-2012,SILVER,Australia,00:07:44.410
Swimming,Women's 4 x 200m Freestyle Relay,london-2012,BRONZE,France,00:07:47.490
Swimming,Women's 4 x 200m Freestyle Relay,london-2012,BRONZE,Canada,00:07:50.650
Swimming,Women's 4 x 200m Freestyle Relay,london-2012,BRONZE,Great Britain,00:07:52.370
Swimming,Women's 4 x 200m Freestyle Relay,london-2012,BRONZE,People's Republic of China,00:07:53.110
Swimming,Women's 4 x 200m Freestyle Relay,london-2012,BRONZE,Italy,00:07:56.300
Swimming,Women's 4 x 200m Freestyle Relay,london-2012,BRONZE,Japan,00:07:56.730
Swimming,Women's 4 x 200m Freestyle Relay,london-2012,BRONZE,Hungary,00:07:56.730
Swimming,Women's 4 x 200m Freestyle Relay,london-2012,BRONZE,New Zealand,00:07:56.730
Swimming,Women's 4 x 200m Freestyle Relay,london-2012,BRONZE,Germany,00:07:56.730
Swimming,Women's 4 x 200m Freestyle Relay,london-2012,BRONZE,Slovenia,00:07:56.730
Swimming,Women's 4 x 200m Freestyle Relay,london-2012,BRONZE,Poland,00:07:56.730
Swimming,Women's 4 x 200m Freestyle Relay,london-2012,BRONZE,Spain,00:07:56.730
Swimming,Women's 4 x 200m Freestyle Relay,london-2012,BRONZE,Russian Federation,00:07:56.730
Swimming,Women's 4 x 200m Freestyle Relay,london-2012,BRONZE,Ukraine,00:07:56.730
Swimming,Men's 4 x 200m Freestyle Relay,london-2012,GOLD,United States of America,00:06:59.700
Swimming,Men's 4 x 200m Freestyle Relay,london-2012,SILVER,France,00:07:2.770
Swimming,Men's 4 x 200m Freestyle Relay,london-2012,BRONZE,People's Republic of China,00:07:6.300
Swimming,Men's 4 x 200m Freestyle Relay,london-2012,BRONZE,Germany,00:07:6.590
Swimming,Men's 4 x 200m Freestyle Relay,london-2012,BRONZE,Australia,00:07:7.000
Swimming,Men's 4 x 200m Freestyle Relay,london-2012,BRONZE,Great Britain,00:07:9.330
Swimming,Men's 4 x 200m Freestyle Relay,london-2012,BRONZE,South Africa,00:07:9.650
