Medal_ID,Race_id,event_title,country_name,value_unit,medal_type
8129,1129,Men's 4 x 200m Freestyle Relay,Netherlands,07:09.1,BRONZE
8130,1130,Men's 4 x 200m Freestyle Relay,Belgium,07:11.6,BRONZE
8131,1131,Men's 4 x 200m Freestyle Relay,Italy,07:11.6,BRONZE
8132,1132,Men's 4 x 200m Freestyle Relay,South Africa,07:11.6,BRONZE
8133,1133,Men's 4 x 200m Freestyle Relay,Spain,07:11.6,BRONZE
8134,1134,Men's 4 x 200m Freestyle Relay,Denmark,07:11.6,BRONZE
8135,1135,Men's 4 x 200m Freestyle Relay,France,07:11.6,BRONZE
8136,1136,Men's 4 x 200m Freestyle Relay,Brazil,07:11.6,BRONZE
8137,1137,Men's 4 x 200m Freestyle Relay,Poland,07:11.6,BRONZE
8138,1138,Men's 4 x 200m Freestyle Relay,Hungary,07:11.6,BRONZE
8139,1139,Women's 4 x 200m Freestyle Relay,United States of America,07:43.0,GOLD
8140,1140,Women's 4 x 200m Freestyle Relay,Australia,07:44.9,SILVER
8141,1141,Women's 4 x 200m Freestyle Relay,Canada,07:45.4,BRONZE
8142,1142,Women's 4 x 200m Freestyle Relay,People's Republic of China,07:48.0,BRONZE
8143,1143,Women's 4 x 200m Freestyle Relay,Sweden,07:50.3,BRONZE
8144,1144,Women's 4 x 200m Freestyle Relay,Hungary,07:51.0,BRONZE
8145,1145,Women's 4 x 200m Freestyle Relay,Russian Federation,07:53.3,BRONZE
8146,1146,Women's 4 x 200m Freestyle Relay,Japan,07:56.8,BRONZE
8147,1147,Women's 4 x 200m Freestyle Relay,Great Britain,07:56.8,BRONZE
8148,1148,Women's 4 x 200m Freestyle Relay,France,07:56.8,BRONZE
8149,1149,Women's 4 x 200m Freestyle Relay,Brazil,07:56.8,BRONZE
8150,1150,Women's 4 x 200m Freestyle Relay,Germany,07:56.8,BRONZE
8151,1151,Women's 4 x 200m Freestyle Relay,Italy,07:56.8,BRONZE
