Race_id,discipline_title,event_title,slug_game,medal_type,country_name,value_unit
1208,Swimming,Women's 4 x 200m Freestyle Relay,london-2012,BRONZE,Japan,07:56.7
1209,Swimming,Women's 4 x 200m Freestyle Relay,london-2012,BRONZE,Hungary,07:56.7
1210,Swimming,Women's 4 x 200m Freestyle Relay,london-2012,BRONZE,New Zealand,07:56.7
1211,Swimming,Women's 4 x 200m Freestyle Relay,london-2012,BRONZE,Germany,07:56.7
1212,Swimming,Women's 4 x 200m Freestyle Relay,london-2012,BRONZE,Slovenia,07:56.7
1213,Swimming,Women's 4 x 200m Freestyle Relay,london-2012,BRONZE,Poland,07:56.7
1214,Swimming,Women's 4 x 200m Freestyle Relay,london-2012,BRONZE,Spain,07:56.7
1215,Swimming,Women's 4 x 200m Freestyle Relay,london-2012,BRONZE,Russian Federation,07:56.7
1216,Swimming,Women's 4 x 200m Freestyle Relay,london-2012,BRONZE,Ukraine,07:56.7
1217,Swimming,Men's 4 x 200m Freestyle Relay,london-2012,GOLD,United States of America,06:59.7
1218,Swimming,Men's 4 x 200m Freestyle Relay,london-2012,SILVER,France,07:02.8
1219,Swimming,Men's 4 x 200m Freestyle Relay,london-2012,BRONZE,People's Republic of China,07:06.3
1220,Swimming,Men's 4 x 200m Freestyle Relay,london-2012,BRONZE,Germany,07:06.6
1221,Swimming,Men's 4 x 200m Freestyle Relay,london-2012,BRONZE,Australia,07:07.0
1222,Swimming,Men's 4 x 200m Freestyle Relay,london-2012,BRONZE,Great Britain,07:09.3
1223,Swimming,Men's 4 x 200m Freestyle Relay,london-2012,BRONZE,South Africa,07:09.7
1224,Swimming,Men's 4 x 200m Freestyle Relay,london-2012,BRONZE,Hungary,07:13.7
1225,Swimming,Men's 4 x 200m Freestyle Relay,london-2012,BRONZE,Japan,07:13.7
1226,Swimming,Men's 4 x 200m Freestyle Relay,london-2012,BRONZE,Russian Federation,07:13.7
1227,Swimming,Men's 4 x 200m Freestyle Relay,london-2012,BRONZE,Italy,07:13.7
1228,Swimming,Men's 4 x 200m Freestyle Relay,london-2012,BRONZE,Belgium,07:13.7
1229,Swimming,Men's 4 x 200m Freestyle Relay,london-2012,BRONZE,Denmark,07:13.7
1230,Swimming,Men's 4 x 200m Freestyle Relay,london-2012,BRONZE,Canada,07:13.7
1231,Swimming,Men's 4 x 200m Freestyle Relay,london-2012,BRONZE,New Zealand,07:13.7
1232,Swimming,Men's 4 x 200m Freestyle Relay,london-2012,BRONZE,Austria,07:13.7
1233,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,GOLD,Australia,03:33.1
1234,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,SILVER,Netherlands,03:33.8
1235,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,United States of America,03:34.2
1236,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,People's Republic of China,03:36.7
1237,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,Great Britain,03:37.0
1238,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,Denmark,03:37.4
1239,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,Japan,03:38.0
1240,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,Sweden,03:38.0
1241,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,Germany,03:38.0
1242,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,Russian Federation,03:38.0
1243,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,Canada,03:38.0
1244,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,Italy,03:38.0
1245,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,Belarus,03:38.0
1246,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,New Zealand,03:38.0
1247,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,Hungary,03:38.0
1248,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,Greece,03:38.0
1249,Athletics,Women's 4 x 100m Relay,london-2012,GOLD,United States of America,00:40.8
1250,Athletics,Women's 4 x 100m Relay,london-2012,SILVER,Jamaica,00:41.4
1251,Athletics,Women's 4 x 100m Relay,london-2012,BRONZE,Ukraine,00:42.0
1252,Athletics,Women's 4 x 100m Relay,london-2012,BRONZE,Nigeria,00:42.6
1253,Athletics,Women's 4 x 100m Relay,london-2012,BRONZE,Germany,00:42.7
1254,Athletics,Women's 4 x 100m Relay,london-2012,BRONZE,Netherlands,00:42.7
1255,Athletics,Women's 4 x 100m Relay,london-2012,BRONZE,Brazil,00:42.9
1256,Athletics,Women's 4 x 100m Relay,london-2012,BRONZE,Trinidad and Tobago,00:42.9
1257,Athletics,Men's 4 x 400m Relay,london-2012,GOLD,Bahamas,02:56.7
1258,Athletics,Men's 4 x 400m Relay,london-2012,SILVER,United States of America,02:57.1
1259,Athletics,Men's 4 x 400m Relay,london-2012,BRONZE,Trinidad and Tobago,02:59.4
1260,Athletics,Men's 4 x 400m Relay,london-2012,BRONZE,Great Britain,02:59.5
1261,Athletics,Men's 4 x 400m Relay,london-2012,BRONZE,Belgium,03:01.8
1262,Athletics,Men's 4 x 400m Relay,london-2012,BRONZE,Venezuela,03:02.2
1263,Athletics,Men's 4 x 400m Relay,london-2012,BRONZE,South Africa,03:03.5
1264,Athletics,Men's 4 x 400m Relay,london-2012,BRONZE,Jamaica,03:03.5
1265,Athletics,Men's 4 x 400m Relay,london-2012,BRONZE,Dominican Republic,03:03.5
1266,Athletics,Men's 4 x 400m Relay,london-2012,BRONZE,Kenya,03:03.5
1267,Athletics,Men's 4 x 400m Relay,london-2012,BRONZE,Russian Federation,03:03.5
1268,Athletics,Men's 4 x 100m Relay,london-2012,GOLD,Jamaica,00:36.8
1269,Athletics,Men's 4 x 100m Relay,london-2012,SILVER,Trinidad and Tobago,00:38.1
1270,Athletics,Men's 4 x 100m Relay,london-2012,BRONZE,France,00:38.2
1271,Athletics,Men's 4 x 100m Relay,london-2012,BRONZE,Japan,00:38.4
1272,Athletics,Men's 4 x 100m Relay,london-2012,BRONZE,Netherlands,00:38.4
1273,Athletics,Men's 4 x 100m Relay,london-2012,BRONZE,Australia,00:38.4
1274,Athletics,Men's 4 x 100m Relay,london-2012,BRONZE,Great Britain,00:38.4
1275,Athletics,Men's 4 x 100m Relay,london-2012,BRONZE,United States of America,00:38.4
1276,Athletics,Women's 4 x 400m Relay,london-2012,GOLD,United States of America,03:16.9
