Team_id,discipline_title,event_title,slug_game,country_name
1153,Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,Slovenia
1154,Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,Spain
1155,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,Australia
1156,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,United States of America
1157,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,Canada
1158,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,Netherlands
1159,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,Sweden
1160,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,Italy
1161,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,France
1162,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,Japan
1163,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,People's Republic of China
1164,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,Russian Federation
1165,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,Brazil
1166,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,Denmark
1167,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,Spain
1168,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,Switzerland
1169,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,Poland
1170,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,Israel
1171,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,United States of America
1172,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,France
1173,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,Australia
1174,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,Russian Federation
1175,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,Brazil
1176,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,Belgium
1177,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,Canada
1178,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,Japan
1179,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,Italy
1180,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,Greece
1181,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,Germany
1182,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,Poland
1183,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,Romania
1184,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,Hungary
1185,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,People's Republic of China
1186,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,France
1187,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,United States of America
1188,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,Russian Federation
1189,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,Australia
1190,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,South Africa
1191,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,Germany
1192,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,Italy
1193,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,Belgium
1194,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,Brazil
1195,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,Canada
1196,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,People's Republic of China
1197,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,Great Britain
1198,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,Serbia
1199,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,Hungary
1200,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,Venezuela
1201,Swimming,Women's 4 x 200m Freestyle Relay,london-2012,United States of America
1202,Swimming,Women's 4 x 200m Freestyle Relay,london-2012,Australia
1203,Swimming,Women's 4 x 200m Freestyle Relay,london-2012,France
1204,Swimming,Women's 4 x 200m Freestyle Relay,london-2012,Canada
1205,Swimming,Women's 4 x 200m Freestyle Relay,london-2012,Great Britain
